transaction_id,user_id,account_id,amount,transaction_type,category,merchant_name,transaction_date,payment_method,is_flagged,monthly_budget,spent_in_category_month,over_budget_percentage
6034,383,91,328.8,expense,Food,Local Diner,10/10/2024 11:00,cash,0,828.49,123.24,0
7960,83,19,425.05,expense,Bills,Mobile Carrier,21/10/2024 18:00,card,0,2802.19,4284.54,52.9
2397,544,331,629.86,expense,Health,Gym,27/06/2024 13:00,mobile_wallet,0,2480.27,2932.5,18.23
1,529,630,424.38,expense,Food,Subway,14/12/2024 16:00,cash,0,533.51,546.04,2.35
5413,345,288,421.17,expense,Food,KFC,27/01/2024 00:00,cash,0,1679.02,1323.9,0
6689,365,534,6.51,expense,Shopping,Local Mall,08/10/2024 21:00,bank_transfer,0,2079.55,1002.86,0
2445,473,178,306.41,expense,Bills,Internet Provider,14/07/2024 14:00,cash,0,2181.62,2732.19,25.24
9147,455,816,43.29,expense,Health,Clinic,05/08/2024 11:00,card,0,2046.19,164.61,0
8859,244,10,405.11,expense,Education,Bookstore,25/10/2024 08:00,bank_transfer,0,1997.05,213.87,0
6344,263,23,2535.63,income,Salary,Contract Payment,26/09/2024 09:00,bank_transfer,1,405.81,448.19,10.44
4236,288,860,661.87,expense,Bills,Gas Utility,08/05/2024 07:00,card,0,2537.03,2657.25,4.74
6037,400,55,353.12,expense,Food,Subway,14/02/2024 19:00,cash,0,1179.29,493.62,0
427,594,47,4944.94,income,Salary,Company Payroll,18/01/2024 07:00,mobile_wallet,0,434.26,462.39,6.48
5582,236,468,149.31,expense,Bills,Electric Co,22/08/2024 12:00,bank_transfer,0,784.27,381.46,0
7538,393,428,332.29,expense,Education,Tuition Office,27/10/2024 11:00,cash,1,1663.11,1182.65,0
6294,213,498,286.61,expense,Food,Subway,21/11/2024 23:00,cash,0,994.71,142.36,0
7503,338,678,101.49,expense,Entertainment,Concert Venue,28/06/2024 20:00,card,0,1307.66,608.77,0
2395,25,803,140.53,expense,Entertainment,Cinema,25/10/2024 12:00,cash,0,442.35,690.87,56.18
6970,281,704,475.11,income,Salary,Freelance Client,19/10/2024 03:00,bank_transfer,0,1337.3,2056.45,53.78
